0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Sonate KV 545 1. Satz"
1, 0, Copyright_t, "Copyright © 2006 by Bernd Krueger"
1, 0, Text_t, "Mozart"
1, 0, Text_t, "Veröffentlicht: 1.10.2006\012"
1, 0, Text_t, "Update: 23.9.2013\012"
1, 0, Text_t, "Dauer:  4:21 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 439432
1, 0, Marker_t, "Teil 1"
1, 960, Tempo, 433182
1, 1440, Tempo, 444050
1, 2240, Tempo, 436745
1, 2560, Tempo, 436745
1, 2880, Tempo, 440399
1, 3840, Tempo, 433182
1, 4800, Tempo, 429646
1, 5280, Tempo, 434940
1, 5760, Tempo, 429646
1, 7520, Tempo, 451637
1, 7680, Tempo, 442217
1, 7795, Tempo, 440399
1, 7910, Tempo, 438564
1, 8026, Tempo, 436745
1, 8141, Tempo, 434940
1, 8256, Tempo, 433182
1, 8371, Tempo, 431406
1, 8486, Tempo, 429646
1, 8602, Tempo, 427899
1, 8640, Tempo, 426197
1, 8736, Tempo, 427899
1, 8832, Tempo, 429646
1, 8909, Tempo, 431406
1, 9005, Tempo, 433182
1, 9101, Tempo, 434940
1, 9178, Tempo, 436745
1, 9274, Tempo, 438564
1, 9370, Tempo, 440399
1, 9446, Tempo, 442217
1, 9581, Tempo, 438564
1, 9754, Tempo, 436745
1, 9907, Tempo, 434940
1, 10080, Tempo, 433182
1, 10234, Tempo, 431406
1, 10406, Tempo, 429646
1, 10522, Tempo, 426197
1, 10598, Tempo, 427899
1, 10675, Tempo, 429646
1, 10752, Tempo, 431406
1, 10829, Tempo, 433182
1, 10906, Tempo, 434940
1, 10963, Tempo, 436745
1, 11040, Tempo, 438564
1, 11117, Tempo, 440399
1, 11194, Tempo, 442217
1, 11270, Tempo, 444050
1, 11328, Tempo, 445931
1, 11482, Tempo, 436745
1, 11654, Tempo, 434940
1, 11808, Tempo, 433182
1, 11962, Tempo, 431406
1, 12134, Tempo, 429646
1, 12288, Tempo, 427899
1, 12422, Tempo, 424508
1, 12499, Tempo, 426197
1, 12576, Tempo, 427899
1, 12653, Tempo, 429646
1, 12730, Tempo, 431406
1, 12806, Tempo, 433182
1, 12864, Tempo, 434940
1, 12941, Tempo, 436745
1, 13018, Tempo, 438564
1, 13094, Tempo, 440399
1, 13171, Tempo, 442217
1, 13229, Tempo, 444050
1, 13459, Tempo, 444050
1, 13574, Tempo, 442217
1, 13690, Tempo, 440399
1, 13786, Tempo, 438564
1, 13901, Tempo, 436745
1, 13997, Tempo, 434940
1, 14112, Tempo, 433182
1, 14208, Tempo, 431406
1, 14323, Tempo, 429646
1, 14400, Tempo, 427899
1, 14496, Tempo, 429646
1, 14573, Tempo, 431406
1, 14650, Tempo, 433182
1, 14726, Tempo, 434940
1, 14803, Tempo, 436745
1, 14880, Tempo, 438564
1, 14957, Tempo, 440399
1, 15034, Tempo, 442217
1, 15110, Tempo, 444050
1, 15187, Tempo, 445931
1, 15341, Tempo, 442217
1, 15514, Tempo, 440399
1, 15667, Tempo, 438564
1, 15840, Tempo, 436745
1, 15994, Tempo, 434940
1, 16147, Tempo, 433182
1, 16320, Tempo, 457526
1, 16480, Tempo, 433182
1, 17120, Tempo, 441956
1, 17280, Tempo, 428878
1, 18080, Tempo, 443656
1, 18240, Tempo, 425743
1, 19040, Tempo, 455546
1, 19200, Tempo, 432090
1, 19440, Tempo, 430046
1, 20000, Tempo, 447828
1, 20160, Tempo, 432090
1, 20400, Tempo, 431624
1, 20960, Tempo, 445931
1, 21120, Tempo, 474496
1, 21600, Tempo, 483832
1, 22560, Tempo, 453583
1, 23040, Tempo, 433244
1, 23140, Tempo, 434877
1, 23245, Tempo, 428449
1, 23335, Tempo, 431624
1, 23455, Tempo, 430046
1, 23515, Tempo, 431624
1, 23605, Tempo, 430046
1, 23725, Tempo, 431624
1, 23785, Tempo, 428449
1, 23880, Tempo, 453583
1, 24000, Tempo, 431624
1, 24115, Tempo, 433244
1, 24205, Tempo, 428449
1, 24295, Tempo, 431624
1, 24490, Tempo, 428449
1, 24580, Tempo, 433244
1, 24715, Tempo, 430046
1, 24840, Tempo, 457143
1, 24960, Tempo, 434877
1, 25200, Tempo, 438148
1, 25920, Tempo, 434877
1, 26160, Tempo, 438148
1, 26880, Tempo, 441501
1, 27360, Tempo, 436491
1, 28320, Tempo, 439818
1, 28680, Tempo, 473971
1, 28800, Tempo, 434877
1, 29040, Tempo, 438148
1, 29760, Tempo, 434877
1, 30000, Tempo, 438148
1, 30720, Tempo, 441501
1, 31200, Tempo, 438148
1, 32160, Tempo, 439818
1, 32520, Tempo, 468238
1, 32640, Tempo, 475888
1, 32749, Tempo, 451807
1, 32794, Tempo, 450045
1, 32824, Tempo, 448330
1, 32869, Tempo, 446595
1, 32899, Tempo, 444873
1, 32944, Tempo, 443164
1, 32974, Tempo, 441501
1, 33004, Tempo, 439818
1, 33120, Tempo, 470109
1, 33240, Tempo, 441501
1, 33600, Tempo, 457143
1, 33720, Tempo, 439818
1, 33724, Tempo, 448330
1, 33784, Tempo, 446595
1, 33829, Tempo, 444873
1, 33874, Tempo, 443164
1, 33919, Tempo, 441501
1, 33964, Tempo, 439818
1, 34009, Tempo, 438148
1, 34080, Tempo, 451807
1, 34200, Tempo, 439818
1, 34560, Tempo, 475888
1, 34669, Tempo, 451807
1, 34714, Tempo, 450045
1, 34759, Tempo, 448330
1, 34789, Tempo, 446595
1, 34834, Tempo, 444873
1, 34864, Tempo, 443164
1, 35040, Tempo, 451807
1, 35160, Tempo, 441501
1, 35520, Tempo, 457143
1, 35629, Tempo, 443164
1, 35749, Tempo, 441501
1, 35854, Tempo, 439818
1, 35959, Tempo, 438148
1, 36000, Tempo, 448163
1, 36120, Tempo, 439818
1, 36480, Tempo, 451535
1, 36600, Tempo, 441501
1, 36604, Tempo, 448330
1, 36664, Tempo, 446595
1, 36724, Tempo, 444873
1, 36769, Tempo, 443164
1, 36829, Tempo, 441501
1, 36874, Tempo, 439818
1, 36960, Tempo, 451807
1, 37080, Tempo, 441501
1, 37440, Tempo, 457143
1, 37549, Tempo, 448330
1, 37594, Tempo, 446595
1, 37639, Tempo, 444873
1, 37684, Tempo, 443164
1, 37729, Tempo, 441501
1, 37774, Tempo, 439818
1, 37819, Tempo, 438148
1, 37849, Tempo, 436491
1, 37920, Tempo, 451807
1, 38040, Tempo, 439818
1, 38400, Tempo, 475888
1, 38520, Tempo, 441501
1, 38880, Tempo, 451807
1, 39000, Tempo, 441501
1, 39360, Tempo, 457143
1, 39480, Tempo, 439818
1, 39840, Tempo, 451807
1, 39960, Tempo, 439818
1, 42000, Tempo, 455339
1, 42240, Tempo, 438148
1, 44040, Tempo, 455339
1, 44160, Tempo, 436491
1, 44520, Tempo, 458961
1, 44640, Tempo, 436491
1, 45960, Tempo, 462606
1, 46045, Tempo, 475888
1, 46083, Tempo, 473971
1, 46122, Tempo, 472032
1, 46141, Tempo, 470109
1, 46179, Tempo, 468238
1, 46199, Tempo, 466345
1, 46237, Tempo, 464468
1, 46275, Tempo, 462606
1, 46295, Tempo, 460794
1, 46333, Tempo, 458961
1, 46352, Tempo, 457143
1, 46391, Tempo, 455339
1, 46429, Tempo, 453583
1, 46448, Tempo, 451807
1, 46487, Tempo, 450045
1, 46506, Tempo, 448330
1, 46544, Tempo, 448330
1, 46583, Tempo, 450045
1, 46640, Tempo, 451807
1, 46679, Tempo, 453583
1, 46736, Tempo, 451807
1, 46794, Tempo, 450045
1, 46851, Tempo, 448330
1, 46909, Tempo, 446595
1, 46947, Tempo, 444873
1, 47389, Tempo, 444873
1, 47447, Tempo, 446595
1, 47485, Tempo, 448330
1, 47523, Tempo, 450045
1, 47581, Tempo, 451807
1, 47619, Tempo, 453583
1, 47658, Tempo, 455339
1, 47696, Tempo, 457143
1, 47754, Tempo, 458961
1, 47792, Tempo, 460794
1, 47831, Tempo, 462606
1, 47869, Tempo, 464468
1, 48480, Tempo, 458961
1, 48840, Tempo, 477859
1, 48960, Tempo, 457143
1, 49320, Tempo, 466345
1, 49440, Tempo, 455339
1, 49800, Tempo, 477859
1, 49920, Tempo, 464468
1, 50400, Tempo, 458961
1, 50760, Tempo, 477859
1, 50880, Tempo, 458961
1, 51240, Tempo, 470109
1, 51360, Tempo, 455339
1, 51720, Tempo, 487924
1, 53760, Tempo, 439432
1, 53760, Marker_t, "Teil 1 Wiederholung"
1, 54720, Tempo, 433182
1, 55200, Tempo, 444050
1, 56000, Tempo, 436745
1, 56320, Tempo, 436745
1, 56640, Tempo, 440399
1, 57600, Tempo, 433182
1, 58560, Tempo, 429646
1, 59040, Tempo, 434940
1, 59520, Tempo, 429646
1, 61280, Tempo, 451637
1, 61440, Tempo, 442217
1, 61555, Tempo, 440399
1, 61670, Tempo, 438564
1, 61786, Tempo, 436745
1, 61901, Tempo, 434940
1, 62016, Tempo, 433182
1, 62131, Tempo, 431406
1, 62246, Tempo, 429646
1, 62362, Tempo, 427899
1, 62400, Tempo, 426197
1, 62496, Tempo, 427899
1, 62592, Tempo, 429646
1, 62669, Tempo, 431406
1, 62765, Tempo, 433182
1, 62861, Tempo, 434940
1, 62938, Tempo, 436745
1, 63034, Tempo, 438564
1, 63130, Tempo, 440399
1, 63206, Tempo, 442217
1, 63341, Tempo, 438564
1, 63514, Tempo, 436745
1, 63667, Tempo, 434940
1, 63840, Tempo, 433182
1, 63994, Tempo, 431406
1, 64166, Tempo, 429646
1, 64282, Tempo, 426197
1, 64358, Tempo, 427899
1, 64435, Tempo, 429646
1, 64512, Tempo, 431406
1, 64589, Tempo, 433182
1, 64666, Tempo, 434940
1, 64723, Tempo, 436745
1, 64800, Tempo, 438564
1, 64877, Tempo, 440399
1, 64954, Tempo, 442217
1, 65030, Tempo, 444050
1, 65088, Tempo, 445931
1, 65242, Tempo, 436745
1, 65414, Tempo, 434940
1, 65568, Tempo, 433182
1, 65722, Tempo, 431406
1, 65894, Tempo, 429646
1, 66048, Tempo, 427899
1, 66182, Tempo, 424508
1, 66259, Tempo, 426197
1, 66336, Tempo, 427899
1, 66413, Tempo, 429646
1, 66490, Tempo, 431406
1, 66566, Tempo, 433182
1, 66624, Tempo, 434940
1, 66701, Tempo, 436745
1, 66778, Tempo, 438564
1, 66854, Tempo, 440399
1, 66931, Tempo, 442217
1, 66989, Tempo, 444050
